X,Y,OBJECTID,NOM,TYPE
194170.7045,5035837.608,14525,Parc Joseph-Forest,9
195722.81,5033278.026,14526,Parc du Debonair,9
196887.4118,5032772.799,14527,Parc Couturier,9
196058.2035,5032883.919,14528,Parc de Beauvoir,9
198121.8006,5032526.458,14529,Parc Maillé,9
195993.2826,5032541.471,14530,Parc des Jeunes,9
196133.3143,5032538.457,14531,Parc Caron,9
199130.2762,5032193.076,14532,Parc Ann-Malcolm,9
198143.5918,5031663.541,14533,Parc des Jardins-Fleuris,9
196022.2661,5031481.675,14534,Parc Victoria,9
197195.6174,5031281.794,14535,Parc Adrien-Cambron,9
200987.5444,5031192.587,14536,Parc Bibeau,9
196957.8191,5031620.217,14537,Parc des Optimistes,9
196198.4937,5031327.198,14538,Stade Amédée-Roy,12
196124.8749,5031470.25,14540,Piscine de la Claire-Fontaine du parc Victoria ,7
196881.0287,5031602.415,14541,Piscine du parc des Optimistes ,7
211812.5342,5034144.962,14558,Aéroport de Sherbrooke,12
194042.0258,5032237.562,14559,Parc Hélène-Boullé,9
194073.6255,5031550.644,14560,Parc de Saint-Alphonse-de-Liguori,9
194073.9362,5031522.001,14561,Piscine du parc de Saint-Alphonse-de-Liguori ,7
194055.122,5034227.799,14564,Parc Jeffrey-Gingras,9
195226.5386,5031893.485,14565,Marais Réal-D.-Carbonneau,12
195240.4815,5031159.194,14566,Parc du Mena'Sen,9
198831.9611,5033229.597,14572,Parc Quintal,9
198896.1186,5033310.597,14573,Centre Julien-Ducharme (Aréna),12
196798.1143,5031521.685,14574,Parc Philippe-Doyon,9
196515.6694,5031218.363,14575,Parc Sylvie-Daigle,9
196525.7681,5031380.522,14576,Caserne William-Percy-Donahue  ( no 1 ),38
196581.4055,5031350.935,14577,Aréna Eugène-Lalonde,12
196640.8878,5031286.319,14578,Centre multisport Roland-Dussault ,12
191524.8006,5039296.47,14582,Parc Ernest-Bergeron,9
191513.8918,5038285.157,14583,Parc Dorilas-Gagnon,9
192150.6268,5037574.721,14584,Parc Nault,9
192678.815,5036676.089,14585,Parc du Rond-Point-Paradis,9
193944.6151,5035667.586,14586,Parc Valère-Patoine,9
190533.1476,5038194.711,14590,Parc de la Kruger,9
193007.2908,5032009.298,14606,Parc du Bois-Beckett,9
191257.4597,5031172.789,14608,Parc André-Viger,9
190751.1117,5031397.366,14609,Parc de Saint-Charles-Garnier,9
192214.4671,5038377.096,14619,Parc de la Rive,9
192218.4087,5038333.747,14620,Maison des arts et de la culture,12
193812.0892,5036474.949,14621,Parc Willie-Bourassa-Auger,9
191840.2825,5037958.781,14623,Parc Ouellet,9
191780.2253,5038041.965,14625,Parc Charland (Brompton),9
191804.3587,5038001.272,14626,Bureau d’arrondissement de Brompton – Rock Forest – Saint-Élie – Deauville – rue Laval ,31
191800.2701,5037997.909,14627,Poste d'incendie de soutien ( no 8 ),38
192346.1871,5031498.797,14630,Parc Frédéric,9
185390.9925,5020115.026,14636,Parc de Notre-Dame-du-Laus,9
183557.2358,5019780.382,14637,Parc du Trianon,9
201897.5228,5025487.192,14640,Parc de View Point,9
199884.7714,5027466.088,14642,Moulton Hill Terrasse,9
200334.2986,5030800.457,14645,Parc Ducharme,9
200347.8382,5030596.127,14646,Parc Gilles-Charland (Fleurimont),9
200990.378,5029911.346,14647,Parc Walter-Camden,9
186782.557,5029914.59,14654,Parc de Ma-Villa,9
187068.6026,5029465.032,14656,Parc Laurier-Bernard,9
184062.4742,5029329.724,14657,Parc du Villageois,9
