ID,Famille,Catégorie,Nom français,Nom court,Type,Numéro,rue,Étage,Bureau,Ville,Code postal,Arrondissement,Classification,Longitude,Latitude
1,Culturel,Établissement culturel,Maison du Meunier,,Musée et centre d'interprétation / d'exposition,10897,Rue du Pont,0, ,Montréal,H2B 1Z4,Ahuntsic-Cartierville,niveau 3,-73.6611018,45.57486204
2,Culturel,Établissement culturel,Maison du Pressoir,,Musée et centre d'interprétation / d'exposition,10865,Rue du Pressoir,0, ,Montréal,H2B 2L1,Ahuntsic-Cartierville,niveau 3,-73.65955268,45.57596969
3,Commercial,Regroupement de commerces,Marché Central,,Centre commercial,9187,Boulevard de l'Acadie,0, ,Montréal,H4N 3K1,Ahuntsic-Cartierville,niveau 1,-73.65495592,45.53402302
4,Culturel,Établissement culturel,Musée des Sœurs de la Providence,,Musée et centre d'interprétation / d'exposition,12055 ,Rue Grenet,0, ,Montréal,H4J 2J5,Ahuntsic-Cartierville,niveau 3,-73.71363504,45.52937423
5,Récréatif / sportif,Parc et autre espace vert,Parc Ahuntsic,,Parc, , ,0, ,Montréal,H3L 2E5,Ahuntsic-Cartierville,niveau 2,-73.66471015,45.55580138
6,Récréatif / sportif,Parc et autre espace vert,Parc Alice-Nolin,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 3,-73.67015753,45.53370666
7,Récréatif / sportif,Parc et autre espace vert,Parc Avila-Vidal,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.69567023,45.52951049
8,Récréatif / sportif,Parc et autre espace vert,Parc Basile-Routhier,,Parc, , ,0, ,Montréal,H2C 1A5,Ahuntsic-Cartierville,niveau 2,-73.67214881,45.5578041
9,Récréatif / sportif,Parc et autre espace vert,Parc Beau-Bois,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.73290167,45.51793288
10,Récréatif / sportif,Parc et autre espace vert,Parc Belmont,,Parc, , ,0, ,Montréal,H4J 2L9,Ahuntsic-Cartierville,niveau 2,-73.72553931,45.5333557
11,Récréatif / sportif,Parc et autre espace vert,Parc Berthe-Louard,,Parc, , ,0, ,Montréal,H2M 2A7,Ahuntsic-Cartierville,niveau 2,-73.64231168,45.55920744
12,Récréatif / sportif,Parc et autre espace vert,Parc Camille,,Parc, , ,0, ,Montréal,H4K 1C8,Ahuntsic-Cartierville,niveau 3,-73.75275335,45.51043318
13,Récréatif / sportif,Parc et autre espace vert,Parc d'Auteuil,,Parc, , ,0, ,Montréal,H3L 1H4,Ahuntsic-Cartierville,niveau 2,-73.65680609,45.54887389
14,Récréatif / sportif,Parc et autre espace vert,Parc de Beauséjour,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.73197852,45.52770613
15,Récréatif / sportif,Parc et autre espace vert,Parc de Bordeaux,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.69979773,45.54188536
16,Récréatif / sportif,Parc et autre espace vert,Parc de la Merci,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.6937934,45.54705809
17,Récréatif / sportif,Parc et autre espace vert,Parc de Louisbourg,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.70806036,45.52851485
18,Récréatif / sportif,Parc et autre espace vert,Parc de Mésy,,Parc, , ,0, ,Montréal,H4J 2P4,Ahuntsic-Cartierville,niveau 2,-73.71714155,45.52958906
19,Récréatif / sportif,Parc et autre espace vert,Parc de Salaberry,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.694831,45.53924941
20,Récréatif / sportif,Parc et autre espace vert,Parc des Bateliers,,Parc, , ,0, ,Montréal,H3M 1A8,Ahuntsic-Cartierville,niveau 4,-73.70324622,45.54434203
21,Récréatif / sportif,Parc et autre espace vert,Parc des Hirondelles,,Parc, , ,0, ,Montréal,H2B 1L5,Ahuntsic-Cartierville,niveau 2,-73.64326678,45.57572562
22,Récréatif / sportif,Parc et autre espace vert,Parc François-Albert-Angers,,Parc, , ,0, ,Montréal,H2M 2K5,Ahuntsic-Cartierville,niveau 4,-73.6420127,45.55553817
23,Récréatif / sportif,Parc et autre espace vert,Parc Gabriel-Lalemant,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.64264001,45.57032162
24,Récréatif / sportif,Parc et autre espace vert,Parc Henri-Julien,,Parc, , ,0, ,Montréal,H2M 1P1,Ahuntsic-Cartierville,niveau 2,-73.64988623,45.54750823
25,Récréatif / sportif,Parc et autre espace vert,Parc Île Perry,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.69769965,45.5476036
26,Récréatif / sportif,Parc et autre espace vert,Parc J.-J.-Gagnier,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.64897071,45.58021545
27,Récréatif / sportif,Parc et autre espace vert,Parc Jean-Martucci,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.63533646,45.55607921
28,Récréatif / sportif,Parc et autre espace vert,Parc Jeanne-Sauvé,,Parc, , ,0, ,Montréal,H2C 3H5,Ahuntsic-Cartierville,niveau 2,-73.672116,45.55677408
29,Récréatif / sportif,Parc et autre espace vert,Parc Lefebvre,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.72254095,45.52739333
30,Récréatif / sportif,Parc et autre espace vert,Parc Lomer-Gouin,,Parc, , ,0, ,Montréal,H2B 1W9,Ahuntsic-Cartierville,niveau 2,-73.65883552,45.57318114
31,Récréatif / sportif,Parc et autre espace vert,Parc Louis-Hébert,,Parc, , ,0, ,Montréal,H2C 1A9,Ahuntsic-Cartierville,niveau 2,-73.66380225,45.56454467
32,Récréatif / sportif,Parc et autre espace vert,Parc Marcelin-Wilson,,Parc, , ,0, ,Montréal,H3M 2T1,Ahuntsic-Cartierville,niveau 2,-73.68230353,45.53610991
33,Récréatif / sportif,Parc et autre espace vert,Parc Maurice-Richard,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.67262846,45.55936265
34,Récréatif / sportif,Parc et autre espace vert,Parc Nicolas-Viel,,Parc, , ,0, ,Montréal,H3L 1H9,Ahuntsic-Cartierville,niveau 2,-73.67652045,45.55108642
35,Récréatif / sportif,Parc et autre espace vert,Parc Olympia-Gouin,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.6639716,45.56395111
36,Récréatif / sportif,Parc et autre espace vert,Parc Raimbault,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.71757422,45.53656005
37,Récréatif / sportif,Parc et autre espace vert,Parc Rosanne-Laflamme,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.69974432,45.52765273
38,Récréatif / sportif,Parc et autre espace vert,Parc Saint-Alphonse,,Parc, , ,0, ,Montréal,H2M 1X5,Ahuntsic-Cartierville,niveau 2,-73.63886939,45.54881667
39,Récréatif / sportif,Parc et autre espace vert,Parc Saint-André-Apôtre,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.67174295,45.54652596
40,Récréatif / sportif,Parc et autre espace vert,Parc Saint-Benoit,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.66570197,45.5410118
41,Récréatif / sportif,Parc et autre espace vert,Parc Sainte-Odile,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.70774507,45.53549856
